model,temp,top_p,question_id,total_seeds,correct_count,wrong_count,accuracy,avg_len_correct,avg_len_wrong,avg_len_all
Qwen-Qwen3-1.7B,0.0,0.9,11,16,0,16,0.0,0.0,18493.38,18493.38
Qwen-Qwen3-1.7B,0.0,0.9,12,16,0,16,0.0,0.0,15933.25,15933.25
Qwen-Qwen3-1.7B,0.0,0.9,13,16,0,16,0.0,0.0,12000.62,12000.62
Qwen-Qwen3-1.7B,0.0,0.9,14,16,14,2,0.875,6784.5,16131.0,7952.81
Qwen-Qwen3-1.7B,0.0,0.9,15,16,3,13,0.1875,16554.33,32122.23,29203.25
Qwen-Qwen3-1.7B,0.0,0.9,16,16,14,2,0.875,12204.21,32628.5,14757.25
Qwen-Qwen3-1.7B,0.0,0.9,17,16,0,16,0.0,0.0,14797.44,14797.44
Qwen-Qwen3-1.7B,0.0,0.9,18,16,0,16,0.0,0.0,23869.81,23869.81
Qwen-Qwen3-1.7B,0.0,0.9,19,16,0,16,0.0,0.0,21458.94,21458.94
Qwen-Qwen3-1.7B,0.0,0.9,20,16,13,3,0.8125,18049.92,26291.0,19595.12
Qwen-Qwen3-1.7B,0.0,0.9,21,16,0,16,0.0,0.0,30942.44,30942.44
Qwen-Qwen3-1.7B,0.0,0.9,22,16,1,15,0.0625,33165.0,7502.2,9106.12
Qwen-Qwen3-1.7B,0.0,0.9,23,16,16,0,1.0,5034.06,0.0,5034.06
Qwen-Qwen3-1.7B,0.0,0.9,24,16,16,0,1.0,5938.69,0.0,5938.69
Qwen-Qwen3-1.7B,0.0,0.9,25,16,16,0,1.0,4906.19,0.0,4906.19
Qwen-Qwen3-1.7B,0.0,0.9,26,16,16,0,1.0,8874.38,0.0,8874.38
Qwen-Qwen3-1.7B,0.0,0.9,27,16,14,2,0.875,3112.79,3834.0,3202.94
Qwen-Qwen3-1.7B,0.0,0.9,28,16,0,16,0.0,0.0,19939.5,19939.5
Qwen-Qwen3-1.7B,0.0,0.9,29,16,0,16,0.0,0.0,34364.94,34364.94
Qwen-Qwen3-1.7B,0.0,0.95,0,16,16,0,1.0,5927.0,0.0,5927.0
Qwen-Qwen3-1.7B,0.0,0.95,1,16,16,0,1.0,8329.0,0.0,8329.0
Qwen-Qwen3-1.7B,0.0,0.95,2,16,0,16,0.0,0.0,26172.0,26172.0
Qwen-Qwen3-1.7B,0.0,0.95,3,16,0,16,0.0,0.0,10317.0,10317.0
Qwen-Qwen3-1.7B,0.0,0.95,4,16,16,0,1.0,11602.0,0.0,11602.0
Qwen-Qwen3-1.7B,0.0,0.95,5,16,16,0,1.0,18962.56,0.0,18962.56
Qwen-Qwen3-1.7B,0.0,0.95,6,16,0,16,0.0,0.0,11363.0,11363.0
Qwen-Qwen3-1.7B,0.0,0.95,7,16,16,0,1.0,4781.0,0.0,4781.0
Qwen-Qwen3-1.7B,0.0,0.95,8,16,16,0,1.0,4379.0,0.0,4379.0
Qwen-Qwen3-1.7B,0.0,0.95,9,16,0,16,0.0,0.0,11787.0,11787.0
Qwen-Qwen3-1.7B,0.0,0.95,10,16,16,0,1.0,4917.0,0.0,4917.0
Qwen-Qwen3-1.7B,0.0,0.95,11,16,0,16,0.0,0.0,13769.44,13769.44
Qwen-Qwen3-1.7B,0.0,0.95,12,16,0,16,0.0,0.0,5339.0,5339.0
Qwen-Qwen3-1.7B,0.0,0.95,13,16,0,16,0.0,0.0,12052.44,12052.44
Qwen-Qwen3-1.7B,0.0,0.95,14,16,15,1,0.9375,20465.0,23962.0,20683.56
Qwen-Qwen3-1.7B,0.0,0.95,15,16,0,16,0.0,0.0,33460.19,33460.19
Qwen-Qwen3-1.7B,0.0,0.95,16,16,0,16,0.0,0.0,32991.0,32991.0
Qwen-Qwen3-1.7B,0.0,0.95,17,16,0,16,0.0,0.0,12875.19,12875.19
Qwen-Qwen3-1.7B,0.0,0.95,18,16,0,16,0.0,0.0,22909.44,22909.44
Qwen-Qwen3-1.7B,0.0,0.95,19,16,0,16,0.0,0.0,32833.0,32833.0
Qwen-Qwen3-1.7B,0.0,0.95,20,16,0,16,0.0,0.0,9942.0,9942.0
Qwen-Qwen3-1.7B,0.0,0.95,21,16,0,16,0.0,0.0,25965.06,25965.06
Qwen-Qwen3-1.7B,0.0,0.95,22,16,0,16,0.0,0.0,17032.19,17032.19
Qwen-Qwen3-1.7B,0.0,0.95,23,16,16,0,1.0,5876.0,0.0,5876.0
Qwen-Qwen3-1.7B,0.0,0.95,24,16,16,0,1.0,7972.0,0.0,7972.0
Qwen-Qwen3-1.7B,0.0,0.95,25,16,16,0,1.0,16176.62,0.0,16176.62
Qwen-Qwen3-1.7B,0.0,0.95,26,16,0,16,0.0,0.0,25517.75,25517.75
Qwen-Qwen3-1.7B,0.0,0.95,27,16,16,0,1.0,4341.12,0.0,4341.12
Qwen-Qwen3-1.7B,0.0,0.95,28,16,0,16,0.0,0.0,23414.56,23414.56
Qwen-Qwen3-1.7B,0.0,0.95,29,16,0,16,0.0,0.0,30664.56,30664.56
Qwen-Qwen3-1.7B,0.0,1.0,0,16,2,14,0.125,23413.5,18306.64,18945.0
Qwen-Qwen3-1.7B,0.0,1.0,1,16,14,2,0.875,16727.36,6410.0,15437.69
Qwen-Qwen3-1.7B,0.0,1.0,2,16,0,16,0.0,0.0,21393.69,21393.69
Qwen-Qwen3-1.7B,0.0,1.0,3,16,0,16,0.0,0.0,12087.0,12087.0
Qwen-Qwen3-1.7B,0.0,1.0,4,16,3,13,0.1875,11305.67,20950.31,19141.94
Qwen-Qwen3-1.7B,0.0,1.0,5,16,16,0,1.0,14006.12,0.0,14006.12
Qwen-Qwen3-1.7B,0.0,1.0,6,16,0,16,0.0,0.0,26307.25,26307.25
Qwen-Qwen3-1.7B,0.0,1.0,7,16,16,0,1.0,7861.38,0.0,7861.38
Qwen-Qwen3-1.7B,0.0,1.0,8,16,16,0,1.0,5703.69,0.0,5703.69
Qwen-Qwen3-1.7B,0.0,1.0,9,16,0,16,0.0,0.0,22802.88,22802.88
Qwen-Qwen3-1.7B,0.0,1.0,10,16,16,0,1.0,4103.19,0.0,4103.19
Qwen-Qwen3-1.7B,0.0,1.0,11,16,0,16,0.0,0.0,28699.56,28699.56
Qwen-Qwen3-1.7B,0.0,1.0,12,16,0,16,0.0,0.0,16705.75,16705.75
Qwen-Qwen3-1.7B,0.0,1.0,13,16,0,16,0.0,0.0,12247.38,12247.38
Qwen-Qwen3-1.7B,0.0,1.0,14,16,16,0,1.0,7006.31,0.0,7006.31
Qwen-Qwen3-1.7B,0.0,1.0,15,16,2,14,0.125,12015.5,24944.29,23328.19
Qwen-Qwen3-1.7B,0.0,1.0,16,16,14,2,0.875,21925.79,30617.5,23012.25
Qwen-Qwen3-1.7B,0.0,1.0,17,16,0,16,0.0,0.0,14804.94,14804.94
Qwen-Qwen3-1.7B,0.0,1.0,18,16,0,16,0.0,0.0,25030.88,25030.88
Qwen-Qwen3-1.7B,0.0,1.0,19,16,0,16,0.0,0.0,22142.31,22142.31
Qwen-Qwen3-1.7B,0.0,1.0,20,16,12,4,0.75,17194.5,24657.5,19060.25
Qwen-Qwen3-1.7B,0.0,1.0,21,16,0,16,0.0,0.0,25510.88,25510.88
Qwen-Qwen3-1.7B,0.0,1.0,22,16,0,16,0.0,0.0,7951.12,7951.12
Qwen-Qwen3-1.7B,0.0,1.0,23,16,16,0,1.0,5024.75,0.0,5024.75
Qwen-Qwen3-1.7B,0.0,1.0,24,16,16,0,1.0,6036.69,0.0,6036.69
Qwen-Qwen3-1.7B,0.0,1.0,25,16,16,0,1.0,5011.12,0.0,5011.12
Qwen-Qwen3-1.7B,0.0,1.0,26,16,16,0,1.0,8706.94,0.0,8706.94
Qwen-Qwen3-1.7B,0.0,1.0,27,16,13,3,0.8125,3003.0,4020.67,3193.81
Qwen-Qwen3-1.7B,0.0,1.0,28,16,0,16,0.0,0.0,28295.94,28295.94
Qwen-Qwen3-1.7B,0.0,1.0,29,16,0,16,0.0,0.0,34349.94,34349.94
Qwen-Qwen3-1.7B,0.2,0.7,0,16,14,2,0.875,9848.07,8767.5,9713.0
Qwen-Qwen3-1.7B,0.2,0.7,1,16,10,6,0.625,14305.0,14280.83,14295.94
Qwen-Qwen3-1.7B,0.2,0.7,2,16,1,15,0.0625,19034.0,22152.73,21957.81
Qwen-Qwen3-1.7B,0.2,0.7,3,16,6,10,0.375,5189.5,19117.8,13894.69
Qwen-Qwen3-1.7B,0.2,0.7,4,16,5,11,0.3125,10487.6,17415.36,15250.44
Qwen-Qwen3-1.7B,0.2,0.7,5,16,15,1,0.9375,14720.47,18363.0,14948.12
Qwen-Qwen3-1.7B,0.2,0.7,6,16,3,13,0.1875,14011.33,23928.54,22069.06
Qwen-Qwen3-1.7B,0.2,0.7,7,16,14,2,0.875,4738.21,8177.0,5168.06
Qwen-Qwen3-1.7B,0.2,0.7,8,16,10,6,0.625,6011.9,7824.17,6691.5
Qwen-Qwen3-1.7B,0.2,0.7,9,16,0,16,0.0,0.0,17590.25,17590.25
Qwen-Qwen3-1.7B,0.2,0.7,10,16,16,0,1.0,4532.62,0.0,4532.62
Qwen-Qwen3-1.7B,0.2,0.7,11,16,0,16,0.0,0.0,15626.88,15626.88
Qwen-Qwen3-1.7B,0.2,0.7,12,16,0,16,0.0,0.0,12858.69,12858.69
Qwen-Qwen3-1.7B,0.2,0.7,13,16,0,16,0.0,0.0,13476.81,13476.81
Qwen-Qwen3-1.7B,0.2,0.7,14,16,10,6,0.625,13002.9,22997.67,16750.94
Qwen-Qwen3-1.7B,0.2,0.7,15,16,7,9,0.4375,13913.71,25817.33,20609.5
Qwen-Qwen3-1.7B,0.2,0.7,16,16,7,9,0.4375,14016.71,24309.22,19806.25
Qwen-Qwen3-1.7B,0.2,0.7,17,16,0,16,0.0,0.0,14703.81,14703.81
Qwen-Qwen3-1.7B,0.2,0.7,18,16,2,14,0.125,8137.5,27339.93,24939.62
Qwen-Qwen3-1.7B,0.2,0.7,19,16,0,16,0.0,0.0,26223.81,26223.81
Qwen-Qwen3-1.7B,0.2,0.7,20,16,3,13,0.1875,18049.0,21582.85,20920.25
Qwen-Qwen3-1.7B,0.2,0.7,21,16,0,16,0.0,0.0,22885.94,22885.94
Qwen-Qwen3-1.7B,0.2,0.7,22,16,2,14,0.125,9705.0,14176.36,13617.44
Qwen-Qwen3-1.7B,0.2,0.7,23,16,16,0,1.0,5702.62,0.0,5702.62
Qwen-Qwen3-1.7B,0.2,0.7,24,16,16,0,1.0,5018.56,0.0,5018.56
Qwen-Qwen3-1.7B,0.2,0.7,25,16,9,7,0.5625,7166.56,17017.43,11476.31
Qwen-Qwen3-1.7B,0.2,0.7,26,16,13,3,0.8125,11299.0,28548.67,14533.31
Qwen-Qwen3-1.7B,0.2,0.7,27,16,15,1,0.9375,4482.27,4453.0,4480.44
Qwen-Qwen3-1.7B,0.2,0.7,28,16,0,16,0.0,0.0,21244.94,21244.94
Qwen-Qwen3-1.7B,0.2,0.7,29,16,0,16,0.0,0.0,27141.19,27141.19
Qwen-Qwen3-1.7B,0.2,0.8,0,16,10,6,0.625,8142.2,15407.83,10866.81
Qwen-Qwen3-1.7B,0.2,0.8,1,16,13,3,0.8125,13693.08,14147.67,13778.31
Qwen-Qwen3-1.7B,0.2,0.8,2,16,4,12,0.25,13998.0,22277.92,20207.94
Qwen-Qwen3-1.7B,0.2,0.8,3,16,6,10,0.375,9175.67,14690.7,12622.56
Qwen-Qwen3-1.7B,0.2,0.8,4,16,6,10,0.375,12042.83,19630.6,16785.19
Qwen-Qwen3-1.7B,0.2,0.8,5,16,15,1,0.9375,15343.0,10250.0,15024.69
Qwen-Qwen3-1.7B,0.2,0.8,6,16,5,11,0.3125,23390.8,27800.55,26422.5
Qwen-Qwen3-1.7B,0.2,0.8,7,16,16,0,1.0,8336.38,0.0,8336.38
Qwen-Qwen3-1.7B,0.2,0.8,8,16,10,6,0.625,5666.9,11775.67,7957.69
Qwen-Qwen3-1.7B,0.2,0.8,9,16,2,14,0.125,7247.5,18310.43,16927.56
Qwen-Qwen3-1.7B,0.2,0.8,10,16,16,0,1.0,4385.38,0.0,4385.38
Qwen-Qwen3-1.7B,0.2,0.8,11,16,0,16,0.0,0.0,16564.44,16564.44
Qwen-Qwen3-1.7B,0.2,0.8,12,16,0,16,0.0,0.0,8805.94,8805.94
Qwen-Qwen3-1.7B,0.2,0.8,13,16,0,16,0.0,0.0,13144.75,13144.75
Qwen-Qwen3-1.7B,0.2,0.8,14,16,8,8,0.5,9583.0,19890.88,14736.94
Qwen-Qwen3-1.7B,0.2,0.8,15,16,6,10,0.375,9841.33,28462.7,21479.69
Qwen-Qwen3-1.7B,0.2,0.8,16,16,6,10,0.375,14002.5,25765.1,21354.12
Qwen-Qwen3-1.7B,0.2,0.8,17,16,1,15,0.0625,12216.0,15147.47,14964.25
Qwen-Qwen3-1.7B,0.2,0.8,18,16,2,14,0.125,16630.0,24989.93,23944.94
Qwen-Qwen3-1.7B,0.2,0.8,19,16,0,16,0.0,0.0,27246.25,27246.25
Qwen-Qwen3-1.7B,0.2,0.8,20,16,4,12,0.25,16171.5,21383.92,20080.81
Qwen-Qwen3-1.7B,0.2,0.8,21,16,0,16,0.0,0.0,23710.0,23710.0
Qwen-Qwen3-1.7B,0.2,0.8,22,16,3,13,0.1875,11123.0,10918.62,10956.94
Qwen-Qwen3-1.7B,0.2,0.8,23,16,16,0,1.0,6053.38,0.0,6053.38
Qwen-Qwen3-1.7B,0.2,0.8,24,16,16,0,1.0,7911.12,0.0,7911.12
Qwen-Qwen3-1.7B,0.2,0.8,25,16,8,8,0.5,9143.12,18456.75,13799.94
Qwen-Qwen3-1.7B,0.2,0.8,26,16,12,4,0.75,11818.67,24484.25,14985.06
Qwen-Qwen3-1.7B,0.2,0.8,27,16,16,0,1.0,4493.5,0.0,4493.5
Qwen-Qwen3-1.7B,0.2,0.8,28,16,0,16,0.0,0.0,19648.81,19648.81
Qwen-Qwen3-1.7B,0.2,0.8,29,16,1,15,0.0625,21210.0,25902.13,25608.88
Qwen-Qwen3-1.7B,0.2,0.9,0,16,12,4,0.75,9072.5,22102.0,12329.88
Qwen-Qwen3-1.7B,0.2,0.9,1,16,11,5,0.6875,13289.36,9858.4,12217.19
Qwen-Qwen3-1.7B,0.2,0.9,2,16,1,15,0.0625,9182.0,22906.47,22048.69
Qwen-Qwen3-1.7B,0.2,0.9,3,16,4,12,0.25,6496.75,12574.33,11054.94
Qwen-Qwen3-1.7B,0.2,0.9,4,16,5,11,0.3125,11789.4,16258.82,14862.12
Qwen-Qwen3-1.7B,0.2,0.9,5,16,13,3,0.8125,13984.92,17763.33,14693.38
Qwen-Qwen3-1.7B,0.2,0.9,6,16,5,11,0.3125,15189.8,23608.82,20977.88
Qwen-Qwen3-1.7B,0.2,0.9,7,16,15,1,0.9375,7000.07,6209.0,6950.62
Qwen-Qwen3-1.7B,0.2,0.9,8,16,9,7,0.5625,5712.67,10435.0,7778.69
Qwen-Qwen3-1.7B,0.2,0.9,9,16,2,14,0.125,8600.0,20330.86,18864.5
Qwen-Qwen3-1.7B,0.2,0.9,10,16,16,0,1.0,4622.69,0.0,4622.69
Qwen-Qwen3-1.7B,0.2,0.9,11,16,1,15,0.0625,16461.0,15239.4,15315.75
Qwen-Qwen3-1.7B,0.2,0.9,12,16,0,16,0.0,0.0,14417.06,14417.06
Qwen-Qwen3-1.7B,0.2,0.9,13,16,0,16,0.0,0.0,13268.19,13268.19
Qwen-Qwen3-1.7B,0.2,0.9,14,16,10,6,0.625,9759.7,17493.67,12659.94
Qwen-Qwen3-1.7B,0.2,0.9,15,16,7,9,0.4375,11232.43,29637.33,21585.19
Qwen-Qwen3-1.7B,0.2,0.9,16,16,7,9,0.4375,17952.43,27443.67,23291.25
Qwen-Qwen3-1.7B,0.2,0.9,17,16,0,16,0.0,0.0,15431.94,15431.94
Qwen-Qwen3-1.7B,0.2,0.9,18,16,3,13,0.1875,11928.0,23810.46,21582.5
Qwen-Qwen3-1.7B,0.2,0.9,19,16,0,16,0.0,0.0,30077.94,30077.94
Qwen-Qwen3-1.7B,0.2,0.9,20,16,4,12,0.25,22382.25,21910.08,22028.12
Qwen-Qwen3-1.7B,0.2,0.9,21,16,0,16,0.0,0.0,24316.19,24316.19
Qwen-Qwen3-1.7B,0.2,0.9,22,16,6,10,0.375,8919.83,12841.1,11370.62
Qwen-Qwen3-1.7B,0.2,0.9,23,16,15,1,0.9375,5960.73,5146.0,5909.81
Qwen-Qwen3-1.7B,0.2,0.9,24,16,16,0,1.0,9202.88,0.0,9202.88
Qwen-Qwen3-1.7B,0.2,0.9,25,16,10,6,0.625,6861.2,19436.0,11576.75
Qwen-Qwen3-1.7B,0.2,0.9,26,16,11,5,0.6875,12351.09,16201.0,13554.19
Qwen-Qwen3-1.7B,0.2,0.9,27,16,16,0,1.0,3841.25,0.0,3841.25
Qwen-Qwen3-1.7B,0.2,0.9,28,16,0,16,0.0,0.0,21381.25,21381.25
Qwen-Qwen3-1.7B,0.2,0.9,29,16,2,14,0.125,17047.0,28619.0,27172.5
Qwen-Qwen3-1.7B,0.2,0.95,0,16,16,0,1.0,9645.31,0.0,9645.31
Qwen-Qwen3-1.7B,0.2,0.95,1,16,12,4,0.75,13515.0,15492.0,14009.25
Qwen-Qwen3-1.7B,0.2,0.95,2,16,3,13,0.1875,19002.33,20760.46,20430.81
Qwen-Qwen3-1.7B,0.2,0.95,3,16,4,12,0.25,4878.25,15994.17,13215.19
Qwen-Qwen3-1.7B,0.2,0.95,4,16,6,10,0.375,11088.5,19614.1,16417.0
Qwen-Qwen3-1.7B,0.2,0.95,5,16,14,2,0.875,13781.14,21232.5,14712.56
Qwen-Qwen3-1.7B,0.2,0.95,6,16,4,12,0.25,22403.25,28162.17,26722.44
Qwen-Qwen3-1.7B,0.2,0.95,7,16,16,0,1.0,6261.56,0.0,6261.56
Qwen-Qwen3-1.7B,0.2,0.95,8,16,9,7,0.5625,6086.78,7102.57,6531.19
Qwen-Qwen3-1.7B,0.2,0.95,9,16,2,14,0.125,8769.5,18535.86,17315.06
Qwen-Qwen3-1.7B,0.2,0.95,10,16,16,0,1.0,4445.69,0.0,4445.69
Qwen-Qwen3-1.7B,0.2,0.95,11,16,0,16,0.0,0.0,15378.81,15378.81
Qwen-Qwen3-1.7B,0.2,0.95,12,16,0,16,0.0,0.0,16025.94,16025.94
Qwen-Qwen3-1.7B,0.2,0.95,13,16,0,16,0.0,0.0,14072.38,14072.38
Qwen-Qwen3-1.7B,0.2,0.95,14,16,8,8,0.5,8422.0,20395.12,14408.56
Qwen-Qwen3-1.7B,0.2,0.95,15,16,8,8,0.5,10750.0,30555.5,20652.75
Qwen-Qwen3-1.7B,0.2,0.95,16,16,10,6,0.625,13184.8,27483.67,18546.88
Qwen-Qwen3-1.7B,0.2,0.95,17,16,0,16,0.0,0.0,14764.69,14764.69
Qwen-Qwen3-1.7B,0.2,0.95,18,16,3,13,0.1875,12196.67,26526.54,23839.69
Qwen-Qwen3-1.7B,0.2,0.95,19,16,0,16,0.0,0.0,26846.81,26846.81
Qwen-Qwen3-1.7B,0.2,0.95,20,16,4,12,0.25,14918.25,22930.17,20927.19
Qwen-Qwen3-1.7B,0.2,0.95,21,16,0,16,0.0,0.0,23961.75,23961.75
Qwen-Qwen3-1.7B,0.2,0.95,22,16,1,15,0.0625,9848.0,11991.07,11857.12
Qwen-Qwen3-1.7B,0.2,0.95,23,16,13,3,0.8125,6826.54,5466.67,6571.56
Qwen-Qwen3-1.7B,0.2,0.95,24,16,16,0,1.0,6206.12,0.0,6206.12
Qwen-Qwen3-1.7B,0.2,0.95,25,16,10,6,0.625,9350.2,19187.83,13039.31
Qwen-Qwen3-1.7B,0.2,0.95,26,16,9,7,0.5625,9399.67,16130.57,12344.44
Qwen-Qwen3-1.7B,0.2,0.95,27,16,16,0,1.0,3906.19,0.0,3906.19
Qwen-Qwen3-1.7B,0.2,0.95,28,16,0,16,0.0,0.0,18705.12,18705.12
Qwen-Qwen3-1.7B,0.2,0.95,29,16,1,15,0.0625,11831.0,28083.73,27067.94
Qwen-Qwen3-1.7B,0.2,1.0,0,16,15,1,0.9375,8271.13,9474.0,8346.31
Qwen-Qwen3-1.7B,0.2,1.0,1,16,14,2,0.875,15216.29,18001.0,15564.38
Qwen-Qwen3-1.7B,0.2,1.0,2,16,3,13,0.1875,14264.67,22503.92,20959.06
